Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Velocity (cm/s)
27.100	-40.606
27.117	-25.794
27.133	-41.627
27.150	-40.350
27.167	-28.118
27.183	-24.772
27.200	-28.347
27.217	-25.283
27.233	-21.707
27.250	-16.881
27.267	-12.258
27.283	-6.385
27.300	-0.766
27.317	6.104
27.333	13.535
27.350	17.877
27.367	23.470
27.383	27.837
27.400	31.386
27.417	34.477
27.433	37.030
27.450	38.282
27.467	37.286
27.483	27.837
27.500	39.814
27.517	41.627
27.533	39.559
27.550	34.477
27.567	18.132
27.583	29.599
27.600	16.344
27.617	22.448
27.633	17.877
27.650	13.024
27.667	5.363
27.683	-0.792
27.700	-6.895
27.717	-12.258
27.733	-18.158
27.750	-22.729
27.767	-27.581
27.783	-31.412
27.800	-34.987
27.817	-37.822
27.833	-40.095
27.850	-41.372
27.867	-41.883
27.883	-41.372
27.900	-40.861
27.917	-38.844
27.933	-36.775
27.950	-33.710
27.967	-30.646
27.983	-26.560
28.000	-22.755
28.017	-18.387
28.033	-10.981
28.050	-5.108
28.067	0.741
28.083	6.640
28.100	14.046
28.117	27.556
28.133	22.984
28.150	27.581
28.167	31.386
28.183	27.070
28.200	35.243
28.217	40.069
28.233	41.372
28.250	42.112
28.267	41.372
28.283	41.372
28.300	39.814
28.317	37.541
28.333	34.451
28.350	30.390
28.367	25.794
28.383	20.916
28.400	15.578
28.417	10.471
28.433	4.571
28.450	-1.532
28.467	-7.406
28.483	-12.539
28.500	-18.132
28.517	-23.495
28.533	-28.858
28.550	-32.433
28.567	-35.524
28.583	-38.052
28.600	-27.837
28.617	-24.006
28.633	-39.584
28.650	-41.372
28.667	-39.610
28.683	-20.431
28.700	-31.923
28.717	-31.157
28.733	-28.858
28.750	-25.308
28.767	-21.197
28.783	-16.855
28.800	-13.280
28.817	-5.389
28.833	3.065
28.850	10.215
28.867	13.510
28.883	17.366
28.900	19.664
28.917	14.531
28.933	21.963
28.950	23.751
28.967	18.362
28.983	40.861
29.000	44.947
29.017	42.112
29.033	40.095
29.050	39.303
29.067	37.286
29.083	35.217
29.100	32.178
29.117	28.603
29.133	24.491
29.150	19.920
29.167	14.301
29.183	9.679
29.200	3.575
29.217	-1.532
29.233	-6.895
29.250	-12.795
29.267	-18.132
29.283	-22.218
29.300	-26.815
29.317	-30.927
29.333	-33.710
29.350	-36.520
29.367	-38.563
29.383	-40.095
29.400	-40.350
29.417	-39.865
29.433	-39.073
29.450	-37.541
29.467	-36.520
29.483	-35.498
29.500	-30.927
29.517	-13.535
29.533	-4.597
29.550	-11.492
29.567	-10.496
29.583	-3.320
29.600	12.258
29.617	10.471
29.633	14.787
29.650	17.877
29.667	20.686
29.683	23.214
29.700	21.707
29.717	34.451
29.733	37.030
29.750	39.584
29.767	39.814
29.783	38.052
29.800	25.768
29.817	39.073
29.833	38.052
29.850	24.236
29.867	32.178
29.883	28.603
29.900	23.980
29.917	19.664
29.933	14.557
29.950	9.168
29.967	3.831
29.983	-1.788
30.000	3.294
30.017	-12.003
30.033	-17.621
30.050	-8.428
30.067	-24.031
30.083	-29.624
30.100	-33.710
30.117	-37.030
30.133	-39.329
30.150	-39.354
30.167	-24.006
30.183	-37.797
30.200	-38.307
30.217	-37.030
30.233	-35.243
30.250	-32.459
30.267	-28.858
30.283	-25.027
30.300	-21.452
30.317	-22.499
30.333	-22.218
30.350	-2.809
30.367	-2.298
30.383	-6.410
30.400	2.298
30.417	19.409
30.433	26.279
30.450	28.858
30.467	31.667
30.483	33.685
30.500	36.264
30.517	38.537
30.533	39.840
30.550	40.350
30.567	39.814
30.583	38.818
30.600	37.005
30.617	34.477
30.633	31.412
30.650	27.811
30.667	23.751
30.683	18.898
30.700	13.510
30.717	8.938
30.733	3.065
30.750	-2.069
30.767	-7.661
30.783	-12.769
30.800	-18.132
30.817	-22.499
30.833	-27.070
30.850	-30.390
30.867	-33.966
30.883	-36.264
30.900	-39.073
30.917	-41.397
30.933	-43.670
30.950	-40.861
30.967	-27.581
30.983	-19.154
31.000	-34.502
31.017	-30.901
31.033	-14.812
31.050	-15.323
31.067	-16.089
31.083	-12.028
31.100	-7.917
31.117	-3.065
31.133	2.528
31.150	8.428
31.167	14.046
31.183	18.873
31.200	23.751
31.217	27.326
31.233	31.131
31.250	33.455
31.267	35.753
31.283	36.239
31.300	33.966
31.317	27.045
31.333	39.329
31.350	39.329
31.367	36.494
31.383	33.710
31.400	30.365
31.417	26.560
31.433	21.707
31.450	16.830
31.467	10.981
31.483	-7.917
31.500	1.788
31.517	-14.327
31.533	-7.917
31.550	-13.535
31.567	-18.132
31.583	-21.478
31.600	-26.560
31.617	-29.880
31.633	-34.221
31.650	-36.264
31.667	-38.333
31.683	-39.584
31.700	-39.584
31.717	-39.329
31.733	-38.563
31.750	-36.009
31.767	-33.991
31.783	-30.646
31.800	-27.581
31.817	-22.729
31.833	-18.132
31.850	-13.561
31.867	-7.661
31.883	-2.554
31.900	3.294
31.917	9.705
31.933	13.535
31.950	19.639
31.967	24.772
31.983	28.092
32.000	31.386
32.017	34.987
32.033	37.286
32.050	38.793
32.067	39.840
32.083	39.814
32.100	39.073
32.117	38.052
32.133	35.728
32.150	33.455
32.167	30.110
32.183	26.049
32.200	21.963
32.217	17.085
32.233	12.258
32.250	6.895
32.267	1.251
32.283	-3.575
32.300	-9.960
32.317	-14.557
32.333	-20.456
32.350	-25.283
32.367	-28.858
32.383	-31.157
32.400	-23.240
32.417	-23.521
32.433	-32.433
32.450	-38.307
32.467	-39.584
32.483	-36.520
32.500	-19.435
32.517	-32.178
32.533	-31.412
32.550	-29.114
32.567	-25.794
32.583	-22.755
32.600	-19.920
32.617	-18.643
32.633	-12.258
32.650	-2.835
32.667	3.831
32.683	15.068
32.700	19.920
32.717	22.959
32.733	24.261
32.750	27.045
32.767	28.603
32.783	25.283
32.800	21.682
32.817	36.775
32.833	21.452
32.850	29.088
32.867	41.627
32.883	39.559
32.900	34.732
32.917	31.923
32.933	28.322
32.950	25.027
32.967	20.941
32.983	16.064
33.000	11.492
33.017	6.129
33.033	0.996
33.050	-4.341
33.067	-9.194
33.083	-14.557
33.100	-18.924
33.117	-23.495
33.133	-27.326
33.150	-30.390
33.167	-33.710
33.183	-35.524
33.200	-37.286
33.217	-38.052
33.233	-38.307
33.250	-37.541
33.267	-36.264
33.283	-33.991
33.300	-31.667
33.317	-28.858
33.333	-26.560
33.350	-24.261
33.367	-17.647
33.383	-11.748
33.400	5.108
33.417	14.531
33.433	7.151
33.450	8.683
33.467	14.276
33.483	19.409
33.500	23.495
33.517	28.322
33.533	30.901
33.550	33.966
33.567	35.983
33.583	38.307
33.600	38.537
33.617	38.052
33.633	37.797
33.650	34.706
33.667	28.603
33.683	21.963
33.700	28.577
33.717	24.772
33.733	20.660
33.750	16.089
33.767	11.492
33.783	6.129
33.800	0.996
33.817	-4.341
33.833	-8.428
33.850	-1.047
33.867	-17.111
33.883	-21.963
33.900	-26.304
33.917	-30.390
33.933	-33.225
33.950	-36.264
33.967	-37.286
33.983	-25.027
34.000	-31.667
34.017	-35.779
34.033	-35.498
34.050	-33.710
34.067	-31.923
34.083	-29.369
34.100	-25.283
34.117	-20.967
34.133	-15.834
34.150	-11.748
34.167	-7.917
34.183	-8.709
34.200	-11.492
34.217	10.471
34.233	-3.346
34.250	8.172
34.267	24.517
34.283	32.408
34.300	31.667
34.317	33.455
34.333	34.962
34.350	36.775
34.367	37.771
34.383	37.541
34.400	37.286
34.417	35.983
34.433	33.455
34.450	31.412
34.467	27.811
34.483	24.006
34.500	20.150
34.517	15.323
34.533	11.237
34.550	5.363
34.567	0.485
34.583	-4.341
34.600	-9.960
34.617	-14.327
34.633	-19.409
34.650	-23.240
34.667	-27.326
34.683	-30.135
34.700	-32.970
34.717	-34.987
34.733	-36.264
34.750	-37.286
34.767	-38.307
34.783	-40.350
34.800	-38.333
34.817	-23.751
34.833	-15.323
34.850	-24.772
34.867	-24.261
34.883	-1.047
34.900	-10.981
34.917	-9.194
34.933	-4.878
34.950	-0.255
34.967	5.108
34.983	10.471
35.000	15.042
35.017	20.175
35.033	24.006
35.050	27.300
35.067	30.390
35.083	32.153
35.100	33.966
35.117	31.157
35.133	24.747
35.150	37.541
35.167	38.052
35.183	35.473
35.200	33.200
35.217	30.110
35.233	27.070
35.250	22.984
35.267	19.128
35.283	14.812
35.300	9.705
35.317	4.827
35.333	0.000
35.350	-5.618
35.367	-10.726
35.383	-15.604
35.400	-20.941
35.417	-25.794
35.433	-34.221
35.450	-40.095
35.467	-33.991
35.483	-39.073
35.500	-43.926
35.517	-37.286
35.533	-37.541
35.550	-36.520
35.567	-35.013
35.583	-33.200
35.600	-30.135
35.617	-27.070
35.633	-23.495
35.650	-18.413
35.667	-14.046
35.683	-9.449
35.700	-3.065
35.717	1.251
35.733	5.874
35.750	10.981
35.767	15.297
35.783	19.920
35.800	24.261
35.817	27.811
35.833	30.646
35.850	33.455
35.867	35.217
35.883	36.520
35.900	37.260
35.917	37.030
35.933	36.520
35.950	35.473
35.967	32.689
35.983	30.110
36.000	27.070
36.017	23.240
36.033	18.873
36.050	14.301
36.067	9.705
36.083	4.316
36.100	-0.511
36.117	-5.618
36.133	-11.492
36.150	-16.370
36.167	-21.707
36.183	-26.049
36.200	-28.603
36.217	-25.538
36.233	-27.607
36.250	-17.877
36.267	-35.243
36.283	-37.286
36.300	-36.264
36.317	-20.456
36.333	-29.114
36.350	-30.390
36.367	-28.603
36.383	-25.794
36.400	-22.499
36.417	-18.898
36.433	-14.557
36.450	-9.705
36.467	-4.622
36.483	0.255
36.500	6.895
36.517	11.722
36.533	16.089
36.550	20.175
36.567	23.980
36.583	27.581
36.600	29.880
36.617	31.642
36.633	31.157
36.650	16.855
36.667	36.749
36.683	31.923
36.700	10.726
36.717	34.962
36.733	35.753
36.750	31.131
36.767	26.815
36.783	21.963
36.800	17.340
36.817	12.769
36.833	8.428
36.850	3.294
36.867	-1.022
36.883	-6.640
36.900	-10.981
36.917	-15.859
36.933	-20.175
36.950	-24.006
36.967	-27.837
36.983	-30.390
37.000	-32.970
37.017	-34.987
37.033	-35.753
37.050	-36.264
37.067	-36.009
37.083	-35.268
37.100	-33.455
37.117	-31.157
37.133	-28.603
37.150	-25.538
37.167	-21.988
37.183	-17.877
37.200	-14.046
37.217	-11.237
37.233	-5.618
37.250	0.741
37.267	6.385
37.283	20.431
37.300	18.107
37.317	20.431
37.333	25.027
37.350	39.814
37.367	34.221
37.383	34.451
37.400	35.498
37.417	36.009
37.433	36.239
37.450	35.498
37.467	34.196
37.483	30.901
37.500	28.603
37.517	18.873
37.533	25.794
37.550	21.452
37.567	17.851
37.583	12.769
37.600	8.428
37.617	3.039
37.633	-1.277
37.650	-6.385
37.667	-11.237
37.683	-14.582
37.700	-7.151
37.717	-21.452
37.733	-26.304
37.750	-29.394
37.767	-32.178
37.783	-34.732
37.800	-36.264
37.817	-26.049
37.833	-27.326
37.850	-32.459
37.867	-31.923
37.883	-30.646
37.900	-28.347
37.917	-26.049
37.933	-22.755
37.950	-18.132
37.967	-12.769
37.983	-7.917
38.000	-3.090
38.017	0.000
38.033	2.554
38.050	-8.938
38.067	17.085
38.083	1.788
38.100	13.024
38.117	30.620
38.133	33.710
38.150	33.174
38.167	33.710
38.183	34.987
38.200	35.728
38.217	35.243
38.233	34.221
38.250	32.919
38.267	30.390
38.283	28.066
38.300	24.261
38.317	21.197
38.333	17.085
38.350	12.769
38.367	7.661
38.383	2.528
38.400	-1.788
38.417	-6.640
38.433	-12.003
38.450	-15.859
38.467	-20.175
38.483	-24.006
38.500	-26.815
38.517	-29.880
38.533	-32.204
38.550	-33.966
38.567	-34.477
38.583	-34.987
38.600	-34.987
38.617	-34.732
38.633	-34.757
38.650	-34.221
38.667	-17.366
38.683	-6.640
38.700	-20.711
38.717	-4.086
38.733	-3.320
38.750	-5.108
38.767	-1.558
38.783	2.554
38.800	6.895
38.817	12.233
38.833	16.855
38.850	20.941
38.867	23.980
38.883	27.070
38.900	29.369
38.917	30.876
38.933	30.646
38.950	27.837
38.967	26.790
38.983	36.009
39.000	34.451
39.017	32.689
39.033	29.369
39.050	26.023
39.067	22.218
39.083	16.600
39.100	7.125
39.117	11.492
39.133	7.661
39.150	14.276
39.167	0.255
39.183	-6.129
39.200	-10.981
39.217	-16.625
39.233	-20.686
39.250	-24.772
39.267	-28.092
39.283	-30.646
39.300	-33.225
39.317	-33.966
39.333	-35.498
39.350	-35.498
39.367	-36.520
39.383	-37.541
39.400	-46.760
39.417	-30.646
39.433	-38.052
39.450	-24.261
39.467	-20.175
39.483	-16.370
39.500	-10.981
39.517	-4.597
39.533	-0.511
39.550	3.550
39.567	7.917
39.583	12.258
39.600	16.064
39.617	20.686
39.633	24.006
39.650	27.300
39.667	30.135
39.683	32.433
39.700	33.940
39.717	34.987
39.733	35.217
39.750	35.243
39.767	33.966
39.783	32.153
39.800	30.135
39.817	27.070
39.833	23.725
39.850	19.920
39.867	16.089
39.883	11.722
39.900	6.895
39.917	2.554
39.933	-2.579
39.950	-7.151
39.967	-12.769
39.983	-17.111
40.000	-23.010
40.017	-27.070
40.033	-28.347
40.050	-19.409
40.067	-15.834
40.083	-31.438
40.100	-35.243
40.117	-25.538
40.133	-24.006
40.150	-30.901
40.167	-30.671
40.183	-28.858
40.200	-26.304
40.217	-22.984
40.233	-19.920
40.250	-16.115
40.267	-11.237
40.283	-7.661
40.300	-2.043
40.317	4.316
40.333	8.428
40.350	13.280
40.367	17.085
40.383	21.197
40.400	24.517
40.417	28.066
40.433	29.369
40.450	31.157
40.467	31.642
40.483	30.646
40.500	19.639
40.517	31.667
40.533	33.710
40.550	28.577
40.567	13.024
40.583	15.834
40.600	25.002
40.617	21.963
40.633	16.089
40.650	10.956
40.667	5.618
40.683	0.766
40.700	-3.856
40.717	-8.683
40.733	-13.024
40.750	-17.111
40.767	-21.197
40.783	-24.798
40.800	-27.837
40.817	-30.135
40.833	-32.178
40.850	-33.710
40.867	-34.247
40.883	-34.477
40.900	-33.966
40.917	-32.944
40.933	-30.901
40.950	-28.628
40.967	-25.794
40.983	-22.474
41.000	-18.387
41.017	-14.301
41.033	-10.752
41.050	-5.874
41.067	-2.554
41.083	1.788
41.100	7.125
41.117	11.748
41.133	16.855
41.150	20.916
41.167	24.772
41.183	38.793
41.200	30.646
41.217	33.455
41.233	46.199
41.250	37.286
41.267	35.498
41.283	34.451
41.300	32.689
41.317	31.386
41.333	29.114
41.350	26.049
41.367	22.448
41.383	18.643
41.400	13.535
41.417	9.679
41.433	3.831
41.450	-0.766
41.467	-3.831
41.483	-8.964
41.500	-10.726
41.517	-16.089
41.533	-19.920
41.550	-23.265
41.567	-26.560
41.583	-29.624
41.600	-31.923
41.617	-34.221
41.633	-32.970
41.650	-19.409
41.667	-28.858
41.683	-30.646
41.700	-29.369
41.717	-28.118
41.733	-25.538
41.750	-22.984
41.767	-19.154
41.783	-15.323
41.800	-10.752
41.817	-5.108
41.833	-0.255
41.850	4.571
41.867	6.895
41.883	6.895
41.900	-0.766
41.917	20.405
41.933	-3.065
41.950	27.837
41.967	33.685
41.983	34.221
42.000	32.944
42.017	33.174
42.033	33.455
42.050	32.919
42.067	31.667
42.083	29.880
42.100	27.811
42.117	24.517
42.133	21.452
42.150	17.851
42.167	14.046
42.183	8.938
42.200	6.104
42.217	0.255
42.233	-4.341
42.250	-8.172
42.267	-13.816
42.283	-17.366
42.300	-20.941
42.317	-24.261
42.333	-27.096
42.350	-29.369
42.367	-31.157
42.383	-32.944
42.400	-33.200
42.417	-32.944
42.433	-32.459
42.450	-31.157
42.467	-31.157
42.483	-31.923
42.500	-26.304
42.517	-10.241
42.533	0.255
42.550	-14.557
42.567	8.428
42.583	0.996
42.600	1.532
42.617	5.108
42.633	9.168
42.650	13.791
42.667	17.877
42.683	21.427
42.700	24.261
42.717	26.815
42.733	28.577
42.750	28.858
42.767	26.304
42.783	22.193
42.800	33.966
42.817	33.429
42.833	31.667
42.850	28.858
42.867	26.279
42.883	22.984
42.900	16.855
42.917	7.636
42.933	13.024
42.950	8.938
42.967	4.571
42.983	0.000
43.000	-3.831
43.017	2.554
43.033	-9.730
43.050	-16.089
43.067	-21.197
43.083	-25.027
43.100	-28.092
43.117	-30.416
43.133	-32.178
43.150	-32.944
43.167	-33.455
43.183	-34.221
43.200	-33.225
43.217	-32.178
43.233	-29.114
43.250	-28.858
43.267	-31.157
43.283	-31.667
43.300	-28.628
43.317	-13.280
43.333	-7.917
43.350	-3.320
43.367	3.294
43.383	6.129
43.400	9.449
43.417	13.510
43.433	17.366
43.450	20.941
43.467	24.236
43.483	27.326
43.500	29.624
43.517	31.386
43.533	32.689
43.550	33.174
43.567	33.200
43.583	32.944
43.600	31.131
43.617	29.624
43.633	26.815
43.650	24.236
43.667	20.686
43.683	17.111
43.700	12.999
43.717	8.428
43.733	4.852
43.750	-0.281
43.767	-4.597
43.783	-8.683
43.800	-13.535
43.817	-17.902
43.833	-22.729
43.850	-27.581
43.867	-29.369
43.883	-19.409
43.900	-14.072
43.917	-31.157
43.933	-33.200
43.950	-19.664
43.967	-25.027
43.983	-28.884
44.000	-27.070
44.017	-25.794
44.033	-23.240
44.050	-20.431
44.067	-16.881
44.083	-12.514
44.100	-8.683
44.117	-3.575
44.133	0.741
44.150	5.363
44.167	10.215
44.183	14.276
44.200	18.132
44.217	21.707
44.233	24.491
44.250	26.815
44.267	28.603
44.283	30.365
44.300	30.135
44.317	28.092
44.333	19.894
44.350	29.880
44.367	31.642
44.383	28.347
44.400	23.495
44.417	7.125
44.433	8.938
44.450	16.855
44.467	14.046
44.483	10.190
44.500	4.597
44.517	-1.022
44.533	-5.899
44.550	-10.471
44.567	-14.557
44.583	-18.643
44.600	-21.988
44.617	-25.027
44.633	-28.092
44.650	-29.880
44.667	-31.412
44.683	-32.433
44.700	-32.714
44.717	-32.433
44.733	-31.923
44.750	-30.646
44.767	-28.347
44.783	-26.074
44.800	-22.984
44.817	-19.409
44.833	-15.323
44.850	-11.773
44.867	-7.406
44.883	-2.809
44.900	1.022
44.917	5.593
44.933	9.449
44.950	13.024
44.967	16.319
44.983	20.941
45.000	24.517
45.017	27.300
45.033	29.880
45.050	31.412
45.067	32.153
45.083	44.181
45.100	32.919
45.117	44.692
45.133	33.710
45.150	29.088
45.167	27.070
45.183	23.240
45.200	19.639
45.217	15.323
45.233	11.492
45.250	6.870
45.267	2.554
45.283	-2.298
45.300	-6.895
45.317	-9.985
45.333	-13.791
45.350	-17.366
45.367	-20.941
45.383	-23.521
45.400	-27.070
45.417	-29.369
45.433	-31.157
45.450	-32.689
45.467	-22.244
45.483	-24.772
45.500	-27.837
45.517	-28.603
45.533	-26.815
45.550	-25.308
45.567	-22.474
45.583	-19.409
45.600	-16.089
45.617	-11.492
45.633	-8.198
45.650	-3.065
45.667	2.298
45.683	6.104
45.700	9.194
45.717	10.726
45.733	-2.043
45.750	22.448
45.767	6.385
45.783	16.344
45.800	32.153
45.817	35.243
45.833	32.153
45.850	31.923
45.867	31.157
45.883	30.365
45.900	29.114
45.917	27.326
45.933	24.747
45.950	21.963
45.967	18.643
45.983	14.787
46.000	10.471
46.017	7.151
46.033	2.273
46.050	-2.043
46.067	-6.895
46.083	-10.215
46.100	-14.838
46.117	-18.643
46.133	-21.707
46.150	-24.261
46.167	-27.070
46.183	-29.139
46.200	-30.135
46.217	-31.667
46.233	-31.667
46.250	-31.157
46.267	-30.161
46.283	-28.603
46.300	-27.581
46.317	-28.092
46.333	-24.772
46.350	-7.942
46.367	0.766
46.383	-8.172
46.400	3.575
46.417	9.934
46.433	4.852
46.450	7.406
46.467	10.700
46.483	14.812
46.500	18.898
46.517	21.937
46.533	25.027
46.550	26.815
46.567	28.066
46.583	26.560
46.600	25.794
46.617	20.916
46.633	31.667
46.650	31.412
46.667	29.343
46.683	26.815
46.700	23.470
46.717	20.686
46.733	16.089
46.750	8.428
46.767	3.294
46.783	5.874
46.800	1.788
46.817	-2.324
46.833	2.043
46.850	-6.640
46.867	-11.748
46.883	-17.136
46.900	-20.686
46.917	-25.027
46.933	-28.347
46.950	-29.880
46.967	-31.438
46.983	-31.412
47.000	-22.984
47.017	-29.624
47.033	-31.667
47.050	-39.610
47.067	-27.837
47.083	-24.517
47.100	-22.474
47.117	-35.243
47.133	-15.348
47.150	-20.941
47.167	-6.129
47.183	-0.511
47.200	5.337
47.217	8.683
47.233	11.492
47.250	14.531
47.267	17.877
47.283	21.707
47.300	24.491
47.317	27.070
47.333	29.114
47.350	30.365
47.367	31.157
47.383	31.667
47.400	31.386
47.417	29.880
47.433	29.114
47.450	26.534
47.467	24.261
47.483	21.171
47.500	18.132
47.517	14.301
47.533	10.215
47.550	6.104
47.567	1.532
47.583	-2.298
47.600	-5.899
47.617	-10.726
47.633	-14.301
47.650	-18.643
47.667	-22.984
47.683	-27.862
47.700	-29.369
47.717	-18.643
47.733	-13.024
47.750	-30.161
47.767	-31.667
47.783	-12.514
47.800	-26.815
47.817	-26.560
47.833	-25.564
47.850	-22.984
47.867	-20.686
47.883	-17.621
47.900	-13.535
47.917	-10.241
47.933	-5.363
47.950	-1.277
47.967	3.320
47.983	7.381
48.000	12.003
48.017	15.323
48.033	18.873
48.050	21.452
48.067	24.261
48.083	26.023
48.100	28.347
48.117	28.577
48.133	26.815
48.150	27.326
48.167	19.639
48.183	29.624
48.200	28.347
48.217	26.023
48.233	22.984
48.250	17.366
48.267	1.507
48.283	3.320
48.300	9.194
48.317	5.363
48.333	3.550
48.350	-1.277
48.367	-6.895
48.383	-11.773
48.400	-15.834
48.417	-19.409
48.433	-22.474
48.450	-25.283
48.467	-27.351
48.483	-29.114
48.500	-30.901
48.517	-31.157
48.533	-31.412
48.550	-30.671
48.567	-29.624
48.583	-28.092
48.600	-25.794
48.617	-22.984
48.633	-20.201
48.650	-16.855
48.667	-13.024
48.683	-9.194
48.700	-4.852
48.717	-0.536
48.733	3.831
48.750	7.661
48.767	11.211
48.783	15.068
48.800	18.387
48.817	20.916
48.833	24.261
48.850	26.560
48.867	28.577
48.883	29.624
48.900	30.901
48.917	31.386
48.933	41.372
48.950	30.110
48.967	41.883
48.983	27.837
49.000	24.236
49.017	20.686
49.033	17.366
49.050	13.254
49.067	9.194
49.083	4.852
49.100	0.485
49.117	-3.831
49.133	-8.428
49.150	-12.003
49.167	-15.093
49.183	-18.643
49.200	-21.707
49.217	-24.261
49.233	-27.070
49.250	-29.139
49.267	-30.646
49.283	-29.369
49.300	-17.877
49.317	-24.772
49.333	-27.607
49.350	-26.560
49.367	-24.517
49.383	-22.218
49.400	-19.409
49.417	-15.859
49.433	-12.769
49.450	-9.449
49.467	-4.852
49.483	-0.536
49.500	3.575
49.517	7.661
49.533	10.981
49.550	12.744
49.567	4.086
49.583	16.600
49.600	17.851
49.617	4.852
49.633	29.880
49.650	34.451
49.667	31.667
49.683	30.620
49.700	29.114
49.717	28.347
49.733	26.534
49.750	24.517
49.767	21.963
49.783	18.873
49.800	15.578
49.817	12.258
49.833	8.147
49.850	3.831
49.867	0.000
49.883	-3.831
49.900	-8.198
49.917	-12.258
49.933	-16.089
49.950	-19.154
49.967	-22.244
49.983	-24.517
50.000	-26.815
50.017	-28.347
50.033	-29.114
50.050	-30.135
50.067	-29.905
50.083	-29.114
50.100	-28.347
50.117	-26.304
50.133	-24.772
50.150	-25.308
50.167	-21.963
50.183	-5.618
50.200	4.597
50.217	-6.665
50.233	-3.320
50.250	19.664
50.267	7.381
50.283	9.705
50.300	13.280
50.317	16.344
50.333	19.639
50.350	22.218
50.367	24.747
50.383	26.304
50.400	27.326
50.417	25.002
50.433	23.495
50.450	21.452
50.467	30.110
50.483	28.858
50.500	26.815
50.517	23.980
50.533	20.941
50.550	17.621
50.567	13.510
50.583	8.683
50.600	5.108
50.617	4.061
50.633	0.255
50.650	-3.320
50.667	-3.831
50.683	-10.752
50.700	-14.301
50.717	-18.643
50.733	-22.218
50.750	-25.027
50.767	-27.862
50.783	-28.858
50.800	-30.135
50.817	-20.175
50.833	-26.049
50.850	-29.139
50.867	-29.369
50.883	-31.923
50.900	-34.221
50.917	-22.218
50.933	-18.668
50.950	-20.175
50.967	-25.538
50.983	-18.898
51.000	-3.575
51.017	1.507
51.033	7.406
51.050	10.215
51.067	12.999
51.083	15.834
51.100	18.643
51.117	22.193
51.133	24.772
51.150	26.560
51.167	28.066
51.183	29.369
51.200	29.624
51.217	29.854
51.233	30.135
51.250	28.322
51.267	26.049
51.283	24.006
51.300	21.682
51.317	18.387
51.333	15.068
51.350	11.467
51.367	7.917
51.383	3.320
51.400	-0.255
51.417	-4.367
51.433	-8.172
51.450	-12.003
51.467	-15.578
51.483	-19.179
51.500	-23.240
51.517	-26.815
51.533	-29.624
51.550	-28.858
51.567	-4.367
51.583	-26.049
51.600	-29.880
51.617	-9.449
51.633	-24.772
51.650	-24.798
51.667	-23.240
51.683	-20.686
51.700	-18.132
51.717	-14.582
51.733	-10.726
51.750	-7.406
51.767	-3.065
51.783	0.996
51.800	5.363
51.817	9.194
51.833	12.769
51.850	16.574
51.867	18.898
51.883	22.218
51.900	23.725
51.917	25.794
51.933	26.534
51.950	24.772
51.967	24.517
51.983	19.894
52.000	28.858
52.017	27.837
52.033	26.023
52.050	23.240
52.067	19.920
52.083	15.042
52.100	-1.022
52.117	10.215
52.133	-3.831
52.150	4.061
52.167	0.766
52.183	-4.341
52.200	-7.687
52.217	-12.769
52.233	-16.344
52.250	-19.920
52.267	-22.729
52.283	-25.308
52.300	-27.326
52.317	-28.603
52.333	-29.624
52.350	-29.624
52.367	-29.905
52.383	-28.858
52.400	-27.326
52.417	-25.794
52.433	-23.495
52.450	-20.711
52.467	-17.621
52.483	-13.791
52.500	-10.726
52.517	-6.385
52.533	-2.324
52.550	1.532
52.567	5.363
52.583	9.424
52.600	13.024
52.617	16.600
52.633	19.639
52.650	22.218
52.667	24.772
52.683	26.023
52.700	27.070
52.717	28.092
52.733	28.833
52.750	29.114
52.767	28.347
52.783	27.045
52.800	36.520
52.817	23.495
52.833	34.196
52.850	20.431
52.867	15.297
52.883	11.237
52.900	6.895
52.917	2.809
52.933	-1.558
52.950	-5.618
52.967	-9.194
52.983	-13.280
53.000	-16.625
53.017	-19.409
53.033	-22.474
53.050	-24.006
53.067	-27.070
53.083	-28.628
53.100	-29.114
53.117	-17.621
53.133	-23.240
53.150	-25.538
53.167	-25.564
53.183	-24.006
53.200	-22.218
53.217	-19.920
53.233	-17.366
53.250	-13.561
53.267	-10.215
53.283	-6.640
53.300	-2.298
53.317	1.762
53.333	5.874
53.350	8.683
53.367	11.977
53.383	11.492
53.400	2.043
53.417	23.470
53.433	7.406
53.450	14.557
53.467	29.088
53.483	32.689
53.500	30.901
53.517	29.343
53.533	27.326
53.550	26.049
53.567	23.980
53.583	21.963
53.600	19.409
53.617	16.319
53.633	13.024
53.650	9.194
53.667	5.848
53.683	1.788
53.700	-2.298
53.717	-6.640
53.733	-9.730
53.750	-13.791
53.767	-16.855
53.783	-19.920
53.800	-22.499
53.817	-24.772
53.833	-26.304
53.850	-27.837
53.867	-28.347
53.883	-28.603
53.900	-28.118
53.917	-27.326
53.933	-26.049
53.950	-24.261
53.967	-22.984
53.983	-22.755
54.000	-18.643
54.017	-2.809
54.033	5.874
54.050	-2.324
54.067	-2.298
54.083	16.600
54.100	14.020
54.117	12.258
54.133	15.323
54.150	17.596
54.167	20.431
54.183	22.474
54.200	24.747
54.217	26.049
54.233	26.815
54.250	24.236
54.267	22.474
54.283	19.409
54.300	28.577
54.317	26.815
54.333	23.751
54.350	21.427
54.367	18.132
54.383	15.323
54.400	10.956
54.417	9.194
54.433	4.086
54.450	1.532
54.467	-1.302
