Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Velocity (cm/s)
6.183	30.646
6.200	23.495
6.217	15.808
6.233	7.661
6.250	-0.511
6.267	-8.709
6.283	-17.111
6.300	-24.772
6.317	-31.667
6.333	-38.307
6.350	-33.225
6.367	-49.033
6.383	-37.030
6.400	-54.141
6.417	-58.738
6.433	-60.270
6.450	-43.951
6.467	-53.375
6.483	-54.396
6.500	-53.375
6.517	-51.076
6.533	-48.267
6.550	-36.264
6.567	-28.884
6.583	-22.729
6.600	-15.578
6.617	-9.960
6.633	-12.284
6.650	-1.022
6.667	-12.514
6.683	25.513
6.700	36.775
6.717	38.563
6.733	43.645
6.750	48.778
6.767	53.094
6.783	56.184
6.800	57.691
6.817	59.249
6.833	59.989
6.850	66.144
6.867	60.245
6.883	52.864
6.900	50.029
6.917	42.649
6.933	43.670
6.950	33.940
6.967	24.261
6.983	15.042
7.000	7.151
7.017	-3.065
7.033	-17.111
7.050	-19.179
7.067	-25.538
7.083	-32.689
7.100	-46.479
7.117	-45.203
7.133	-48.803
7.150	-52.098
7.167	-55.418
7.183	-57.716
7.200	-58.227
7.217	-58.993
7.233	-62.824
7.250	-39.865
7.267	-40.350
7.283	-23.751
7.300	-59.504
7.317	-54.652
7.333	-30.646
7.350	-33.225
7.367	-4.852
7.383	-11.492
7.400	-1.277
7.417	15.297
7.433	6.129
7.450	37.260
7.467	32.178
7.483	38.818
7.500	55.648
7.517	70.996
7.533	54.626
7.550	54.396
7.567	53.605
7.583	40.095
7.600	58.712
7.617	57.972
7.633	54.882
7.650	50.055
7.667	31.412
7.683	41.091
7.700	36.520
7.717	19.128
7.733	22.984
7.750	14.812
7.767	7.381
7.783	-0.766
7.800	-8.428
7.817	-16.855
7.833	-24.287
7.850	-31.923
7.867	-38.052
7.883	-43.926
7.900	-48.778
7.917	-52.864
7.933	-56.210
7.950	-57.972
7.967	-58.738
7.983	-58.993
8.000	-57.461
8.017	-55.418
8.033	-51.843
8.050	-47.527
8.067	-42.393
