Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Distance (cm)	Dist Error (cm)
19.083	27.024	0.239
19.100	27.815	0.239
19.117	28.573	0.239
19.133	29.275	0.239
19.150	29.918	0.239
19.167	30.488	0.239
19.183	30.964	0.239
19.200	31.343	0.239
19.217	31.420	0.239
19.233	31.594	0.239
19.250	31.675	0.239
19.267	31.649	0.239
19.283	31.513	0.239
19.300	31.266	0.239
19.317	30.921	0.239
19.333	30.482	0.239
19.350	29.955	0.239
19.367	29.359	0.239
19.383	28.941	0.239
19.400	28.252	0.239
19.417	27.498	0.239
19.433	26.707	0.239
19.450	25.902	0.239
19.467	25.106	0.239
19.483	24.621	0.239
19.500	23.952	0.239
19.517	23.280	0.239
19.533	22.658	0.239
19.550	22.084	0.239
19.567	21.585	0.239
19.583	21.087	0.239
19.600	20.657	0.239
19.617	20.449	0.239
19.633	20.385	0.239
19.650	20.555	0.239
19.667	20.785	0.239
19.683	21.052	0.239
19.700	21.363	0.239
19.717	21.742	0.239
19.733	21.942	0.239
19.750	22.554	0.239
19.767	23.078	0.239
19.783	23.456	0.239
19.800	24.235	0.239
19.817	25.095	0.239
19.833	25.908	0.239
19.850	26.690	0.239
19.867	27.448	0.239
19.883	28.176	0.239
19.900	28.856	0.239
19.917	29.478	0.239
19.933	30.018	0.239
19.950	30.486	0.239
19.967	30.861	0.239
19.983	31.146	0.239
20.000	31.312	0.239
20.017	31.397	0.239
20.033	31.354	0.239
20.050	31.230	0.239
20.067	30.971	0.239
20.083	30.617	0.239
20.100	30.187	0.239
20.117	29.655	0.239
20.133	29.059	0.239
20.150	28.395	0.239
20.167	27.684	0.239
20.183	26.939	0.239
20.200	26.173	0.239
20.217	25.390	0.239
20.233	24.623	0.239
20.250	23.874	0.239
20.267	23.159	0.239
20.283	22.448	0.239
20.300	21.750	0.239
20.317	21.188	0.239
20.333	21.175	0.239
20.350	20.809	0.239
20.367	20.852	0.239
20.383	20.766	0.239
20.400	20.711	0.239
20.417	20.728	0.239
20.433	20.766	0.239
20.450	20.953	0.239
20.467	21.370	0.239
20.483	21.923	0.239
20.500	22.468	0.239
20.517	23.081	0.239
20.533	23.728	0.239
20.550	24.409	0.239
20.567	25.076	0.239
20.583	25.566	0.239
20.600	26.349	0.239
20.617	27.123	0.239
20.633	27.608	0.239
20.650	28.285	0.239
20.667	28.783	0.239
20.683	29.412	0.239
20.700	30.008	0.239
20.717	30.481	0.239
20.733	30.868	0.239
20.750	31.148	0.239
20.767	31.327	0.239
20.783	31.399	0.239
20.800	31.361	0.239
20.817	31.212	0.239
20.833	30.973	0.239
20.850	30.624	0.239
20.867	30.177	0.239
20.883	29.654	0.239
20.900	29.028	0.239
20.917	28.338	0.239
20.933	27.623	0.239
20.950	27.065	0.239
20.967	26.555	0.239
20.983	25.831	0.239
21.000	25.048	0.239
21.017	24.298	0.239
21.033	23.749	0.239
21.050	23.217	0.239
21.067	22.638	0.239
21.083	22.115	0.239
21.100	21.650	0.239
21.117	21.263	0.239
21.133	20.957	0.239
21.150	20.714	0.239
21.167	20.526	0.239
21.183	20.377	0.239
21.200	20.552	0.239
21.217	20.497	0.239
21.233	20.645	0.239
21.250	21.096	0.239
21.267	21.696	0.239
21.283	22.305	0.239
21.300	22.956	0.239
21.317	23.653	0.239
21.333	24.386	0.239
21.350	25.143	0.239
21.367	25.909	0.239
21.383	26.671	0.239
21.400	27.415	0.239
21.417	28.126	0.239
21.433	28.790	0.239
21.450	29.394	0.239
21.467	29.930	0.239
21.483	30.385	0.239
21.500	30.756	0.239
21.517	31.019	0.239
21.533	31.189	0.239
21.550	31.253	0.239
21.567	31.215	0.239
21.583	31.074	0.239
21.600	30.831	0.239
21.617	30.495	0.239
21.633	30.074	0.239
21.650	29.563	0.239
21.667	28.984	0.239
21.683	28.345	0.239
21.700	27.647	0.239
21.717	26.894	0.239
21.733	26.081	0.239
21.750	25.272	0.239
21.767	24.693	0.239
21.783	24.254	0.239
21.800	23.539	0.239
21.817	23.186	0.239
21.833	22.649	0.239
21.850	22.143	0.239
21.867	21.696	0.239
21.883	21.321	0.239
21.900	21.032	0.239
21.917	20.836	0.239
21.933	20.789	0.239
21.950	20.853	0.239
21.967	21.018	0.239
21.983	21.278	0.239
22.000	21.614	0.239
22.017	22.035	0.239
22.033	22.503	0.239
22.050	22.950	0.239
22.067	23.414	0.239
22.083	24.116	0.239
22.100	24.856	0.239
22.117	25.491	0.239
22.133	26.099	0.239
22.150	26.669	0.239
22.167	27.410	0.239
22.183	28.120	0.239
22.200	28.784	0.239
22.217	29.393	0.239
22.233	29.941	0.239
22.250	30.393	0.239
22.267	30.754	0.239
22.283	31.035	0.239
22.300	31.192	0.239
22.317	31.252	0.239
22.333	31.192	0.239
22.350	31.039	0.239
22.367	30.775	0.239
22.383	30.425	0.239
22.400	29.991	0.239
22.417	29.455	0.239
22.433	28.863	0.239
22.450	28.199	0.239
22.467	27.497	0.239
22.483	26.756	0.239
22.500	25.998	0.239
22.517	25.215	0.239
22.533	24.449	0.239
22.550	23.708	0.239
22.567	23.002	0.239
22.583	22.333	0.239
22.600	21.733	0.239
22.617	21.214	0.239
22.633	20.767	0.239
22.650	20.414	0.239
22.667	20.158	0.239
22.683	20.004	0.239
22.700	19.949	0.239
22.717	20.004	0.239
22.733	20.170	0.239
22.750	20.430	0.239
22.767	20.795	0.239
22.783	21.251	0.239
22.800	21.787	0.239
22.817	22.421	0.239
22.833	23.093	0.239
22.850	23.799	0.239
22.867	24.544	0.239
22.883	25.302	0.239
22.900	26.072	0.239
22.917	26.842	0.239
22.933	27.574	0.239
22.950	28.268	0.239
22.967	28.914	0.239
22.983	29.497	0.239
23.000	30.008	0.239
23.017	30.438	0.239
23.033	30.774	0.239
23.050	31.017	0.239
23.067	31.140	0.239
23.083	31.178	0.239
23.100	31.101	0.239
23.117	30.940	0.239
23.133	30.667	0.239
23.150	30.301	0.239
23.167	29.845	0.239
23.183	29.313	0.239
23.200	28.708	0.239
23.217	28.057	0.239
23.233	27.542	0.239
23.250	26.818	0.239
23.267	26.338	0.239
23.283	25.614	0.239
23.300	24.860	0.239
23.317	24.137	0.239
23.333	23.456	0.239
23.350	23.060	0.239
23.367	22.570	0.239
23.383	22.097	0.239
23.400	21.697	0.239
23.417	21.374	0.239
23.433	21.131	0.239
23.450	20.990	0.239
23.467	20.952	0.239
23.483	21.024	0.239
23.500	21.195	0.239
23.517	21.467	0.239
23.533	21.824	0.239
23.550	22.254	0.239
23.567	22.752	0.239
23.583	23.271	0.239
23.600	23.641	0.239
23.617	24.322	0.239
23.633	25.062	0.239
23.650	25.641	0.239
23.667	26.062	0.239
23.683	26.815	0.239
23.700	27.564	0.239
23.717	28.296	0.239
23.733	28.939	0.239
23.750	29.500	0.239
23.767	29.985	0.239
23.783	30.394	0.239
23.800	30.709	0.239
23.817	30.925	0.239
23.833	31.053	0.239
23.850	31.079	0.239
23.867	30.997	0.239
23.883	30.819	0.239
23.900	30.542	0.239
23.917	30.180	0.239
23.933	29.733	0.239
23.950	29.209	0.239
23.967	28.618	0.239
23.983	27.975	0.239
24.000	27.290	0.239
24.017	26.570	0.239
24.033	25.842	0.239
24.050	25.106	0.239
24.067	24.378	0.239
24.083	23.680	0.239
24.100	23.020	0.239
24.117	22.407	0.239
24.133	21.832	0.239
24.150	21.300	0.239
24.167	20.845	0.239
24.183	20.513	0.239
24.200	20.474	0.239
24.217	20.631	0.239
24.233	20.619	0.239
24.250	20.678	0.239
24.267	20.869	0.239
24.283	21.333	0.239
24.300	21.738	0.239
24.317	22.188	0.239
24.333	22.708	0.239
24.350	23.265	0.239
24.367	23.737	0.239
24.383	24.423	0.239
24.400	25.146	0.239
24.417	25.891	0.239
24.433	26.605	0.239
24.450	27.056	0.239
24.467	27.746	0.239
24.483	28.231	0.239
24.500	28.852	0.239
24.517	29.414	0.239
24.533	29.920	0.239
24.550	30.350	0.239
24.567	30.682	0.239
24.583	30.899	0.239
24.600	31.026	0.239
24.617	31.051	0.239
24.633	30.983	0.239
24.650	30.805	0.239
24.667	30.524	0.239
24.683	30.157	0.239
24.700	29.698	0.239
24.717	29.136	0.239
24.733	28.544	0.239
24.750	27.889	0.239
24.767	27.394	0.239
24.783	26.930	0.239
24.800	26.271	0.239
24.817	25.543	0.239
24.833	24.828	0.239
24.850	24.449	0.239
24.867	23.848	0.239
24.883	23.257	0.239
24.900	22.720	0.239
24.917	22.227	0.239
24.933	21.805	0.239
24.950	21.477	0.239
24.967	21.256	0.239
24.983	21.149	0.239
25.000	21.141	0.239
25.017	21.213	0.239
25.033	21.341	0.239
25.050	21.430	0.239
25.067	21.600	0.239
25.083	21.936	0.239
25.100	22.072	0.239
25.117	22.680	0.239
25.133	23.391	0.239
25.150	24.089	0.239
25.167	24.783	0.239
25.183	25.497	0.239
25.200	26.212	0.239
25.217	26.919	0.239
25.233	27.604	0.239
25.250	28.251	0.239
25.267	28.846	0.239
25.283	29.383	0.239
25.300	29.859	0.239
25.317	30.246	0.239
25.333	30.557	0.239
25.350	30.770	0.239
25.367	30.884	0.239
25.383	30.897	0.239
25.400	30.825	0.239
25.417	30.637	0.239
25.433	30.369	0.239
25.450	30.011	0.239
25.467	29.577	0.239
25.483	29.066	0.239
25.500	28.500	0.239
25.517	27.874	0.239
25.533	27.210	0.239
25.550	26.521	0.239
25.567	25.814	0.239
25.583	25.099	0.239
25.600	24.354	0.239
25.617	23.605	0.239
25.633	22.987	0.239
25.650	22.796	0.239
25.667	22.285	0.239
25.683	21.987	0.239
25.700	21.787	0.239
25.717	21.523	0.239
25.733	21.327	0.239
25.750	21.212	0.239
25.767	21.186	0.239
25.783	21.275	0.239
25.800	21.454	0.239
25.817	21.739	0.239
25.833	22.101	0.239
25.850	22.530	0.239
25.867	23.024	0.239
25.883	23.565	0.239
25.900	24.062	0.239
25.917	24.543	0.239
25.933	25.245	0.239
25.950	25.973	0.239
25.967	26.684	0.239
25.983	27.266	0.239
26.000	27.781	0.239
26.017	28.419	0.239
26.033	28.832	0.239
26.050	29.373	0.239
26.067	29.836	0.239
26.083	30.228	0.239
26.100	30.526	0.239
26.117	30.730	0.239
26.133	30.840	0.239
26.150	31.028	0.239
26.167	30.946	0.239
26.183	30.772	0.239
26.200	30.499	0.239
26.217	30.376	0.239
26.233	29.963	0.239
26.250	29.469	0.239
26.267	28.894	0.239
26.283	28.260	0.239
26.300	27.579	0.239
26.317	26.868	0.239
26.333	26.149	0.239
26.350	25.425	0.239
26.367	24.727	0.239
26.383	24.046	0.239
26.400	23.395	0.239
26.417	22.795	0.239
26.433	22.254	0.239
26.450	21.794	0.239
26.467	21.419	0.239
26.483	21.121	0.239
26.500	20.870	0.239
26.517	20.512	0.239
26.533	20.316	0.239
26.550	20.402	0.239
26.567	20.597	0.239
26.583	20.899	0.239
26.600	21.316	0.239
26.617	21.788	0.239
26.633	22.320	0.239
26.650	22.899	0.239
26.667	23.533	0.239
26.683	24.201	0.239
26.700	24.899	0.239
26.717	25.605	0.239
26.733	26.320	0.239
26.750	27.022	0.239
26.767	27.695	0.239
26.783	28.333	0.239
26.800	28.920	0.239
26.817	29.448	0.239
26.833	29.899	0.239
26.850	30.273	0.239
26.867	30.562	0.239
26.883	30.767	0.239
26.900	30.865	0.239
26.917	30.873	0.239
26.933	30.788	0.239
26.950	30.592	0.239
26.967	30.315	0.239
26.983	29.940	0.239
27.000	29.480	0.239
27.017	28.944	0.239
27.033	28.335	0.239
27.050	27.671	0.239
27.067	26.986	0.239
27.083	26.462	0.239
27.100	25.785	0.239
27.117	25.356	0.239
27.133	24.662	0.239
27.150	23.989	0.239
27.167	23.521	0.239
27.183	23.108	0.239
27.200	22.635	0.239
27.217	22.214	0.239
27.233	21.852	0.239
27.250	21.571	0.239
27.267	21.367	0.239
27.283	21.260	0.239
27.300	21.247	0.239
27.317	21.349	0.239
27.333	21.575	0.239
27.350	21.873	0.239
27.367	22.264	0.239
27.383	22.728	0.239
27.400	23.251	0.239
27.417	23.825	0.239
27.433	24.443	0.239
27.450	25.081	0.239
27.467	25.702	0.239
27.483	26.166	0.239
27.500	26.830	0.239
27.517	27.523	0.239
27.533	28.183	0.239
27.550	28.757	0.239
27.567	29.059	0.239
27.583	29.553	0.239
27.600	29.825	0.239
27.617	30.199	0.239
27.633	30.497	0.239
27.650	30.714	0.239
27.667	30.804	0.239
27.683	30.791	0.239
27.700	30.676	0.239
27.717	30.471	0.239
27.733	30.169	0.239
27.750	29.790	0.239
27.767	29.330	0.239
27.783	28.807	0.239
27.800	28.224	0.239
27.817	27.593	0.239
27.833	26.925	0.239
27.850	26.235	0.239
27.867	25.537	0.239
27.883	24.848	0.239
27.900	24.167	0.239
27.917	23.519	0.239
27.933	22.906	0.239
27.950	22.345	0.239
27.967	21.834	0.239
27.983	21.391	0.239
28.000	21.012	0.239
28.017	20.706	0.239
28.033	20.522	0.239
28.050	20.437	0.239
28.067	20.450	0.239
28.083	20.560	0.239
28.100	20.794	0.239
28.117	21.254	0.239
28.133	21.637	0.239
28.150	22.096	0.239
28.167	22.620	0.239
28.183	23.071	0.239
28.200	23.658	0.239
28.217	24.326	0.239
28.233	25.016	0.239
28.250	25.717	0.239
28.267	26.407	0.239
28.283	27.096	0.239
28.300	27.760	0.239
28.317	28.386	0.239
28.333	28.960	0.239
28.350	29.466	0.239
28.367	29.896	0.239
28.383	30.245	0.239
28.400	30.505	0.239
28.417	30.679	0.239
28.433	30.755	0.239
28.450	30.730	0.239
28.467	30.606	0.239
28.483	30.397	0.239
28.500	30.095	0.239
28.517	29.703	0.239
28.533	29.222	0.239
28.550	28.682	0.239
28.567	28.090	0.239
28.583	27.456	0.239
28.600	26.992	0.239
28.617	26.592	0.239
28.633	25.932	0.239
28.650	25.242	0.239
28.667	24.582	0.239
28.683	24.242	0.239
28.700	23.710	0.239
28.717	23.190	0.239
28.733	22.709	0.239
28.750	22.288	0.239
28.767	21.934	0.239
28.783	21.653	0.239
28.800	21.432	0.239
28.817	21.342	0.239
28.833	21.393	0.239
28.850	21.564	0.239
28.867	21.789	0.239
28.883	22.078	0.239
28.900	22.406	0.239
28.917	22.648	0.239
28.933	23.014	0.239
28.950	23.410	0.239
28.967	23.716	0.239
28.983	24.397	0.239
29.000	25.146	0.239
29.017	25.848	0.239
29.033	26.516	0.239
29.050	27.171	0.239
29.067	27.793	0.239
29.083	28.380	0.239
29.100	28.916	0.239
29.117	29.393	0.239
29.133	29.801	0.239
29.150	30.133	0.239
29.167	30.371	0.239
29.183	30.533	0.239
29.200	30.592	0.239
29.217	30.567	0.239
29.233	30.452	0.239
29.250	30.238	0.239
29.267	29.936	0.239
29.283	29.566	0.239
29.300	29.119	0.239
29.317	28.604	0.239
29.333	28.042	0.239
29.350	27.433	0.239
29.367	26.790	0.239
29.383	26.122	0.239
29.400	25.450	0.239
29.417	24.785	0.239
29.433	24.134	0.239
29.450	23.508	0.239
29.467	22.900	0.239
29.483	22.308	0.239
29.500	21.793	0.239
29.517	21.567	0.239
29.533	21.490	0.239
29.550	21.299	0.239
29.567	21.124	0.239
29.583	21.069	0.239
29.600	21.273	0.239
29.617	21.447	0.239
29.633	21.694	0.239
29.650	21.992	0.239
29.667	22.337	0.239
29.683	22.723	0.239
29.700	23.085	0.239
29.717	23.659	0.239
29.733	24.277	0.239
29.750	24.936	0.239
29.767	25.600	0.239
29.783	26.234	0.239
29.800	26.664	0.239
29.817	27.315	0.239
29.833	27.949	0.239
29.850	28.353	0.239
29.867	28.889	0.239
29.883	29.366	0.239
29.900	29.766	0.239
29.917	30.093	0.239
29.933	30.336	0.239
29.950	30.489	0.239
29.967	30.553	0.239
29.983	30.523	0.239
30.000	30.578	0.239
30.017	30.378	0.239
30.033	30.084	0.239
30.050	29.944	0.239
30.067	29.543	0.239
30.083	29.049	0.239
30.100	28.487	0.239
30.117	27.870	0.239
30.133	27.215	0.239
30.150	26.559	0.239
30.167	26.159	0.239
30.183	25.529	0.239
30.200	24.890	0.239
30.217	24.273	0.239
30.233	23.686	0.239
30.250	23.145	0.239
30.267	22.664	0.239
30.283	22.247	0.239
30.300	21.889	0.239
30.317	21.514	0.239
30.333	21.144	0.239
30.350	21.097	0.239
30.367	21.059	0.239
30.383	20.952	0.239
30.400	20.990	0.239
30.417	21.314	0.239
30.433	21.752	0.239
30.450	22.233	0.239
30.467	22.760	0.239
30.483	23.322	0.239
30.500	23.926	0.239
30.517	24.569	0.239
30.533	25.233	0.239
30.550	25.905	0.239
30.567	26.569	0.239
30.583	27.216	0.239
30.600	27.832	0.239
30.617	28.407	0.239
30.633	28.931	0.239
30.650	29.394	0.239
30.667	29.790	0.239
30.683	30.105	0.239
30.700	30.330	0.239
30.717	30.479	0.239
30.733	30.530	0.239
30.750	30.496	0.239
30.767	30.368	0.239
30.783	30.155	0.239
30.800	29.853	0.239
30.817	29.478	0.239
30.833	29.027	0.239
30.850	28.520	0.239
30.867	27.954	0.239
30.883	27.350	0.239
30.900	26.698	0.239
30.917	26.009	0.239
30.933	25.281	0.239
30.950	24.600	0.239
30.967	24.140	0.239
30.983	23.821	0.239
31.000	23.246	0.239
31.017	22.731	0.239
31.033	22.484	0.239
31.050	22.228	0.239
31.067	21.960	0.239
31.083	21.760	0.239
31.100	21.628	0.239
31.117	21.577	0.239
31.133	21.619	0.239
31.150	21.759	0.239
31.167	21.993	0.239
31.183	22.308	0.239
31.200	22.704	0.239
31.217	23.159	0.239
31.233	23.678	0.239
31.250	24.236	0.239
31.267	24.832	0.239
31.283	25.436	0.239
31.300	26.002	0.239
31.317	26.452	0.239
31.333	27.108	0.239
31.350	27.763	0.239
31.367	28.372	0.239
31.383	28.933	0.239
31.400	29.440	0.239
31.417	29.882	0.239
31.433	30.244	0.239
31.450	30.525	0.239
31.467	30.708	0.239
31.483	30.576	0.239
31.500	30.605	0.239
31.517	30.367	0.239
31.533	30.235	0.239
31.550	30.009	0.239
31.567	29.707	0.239
31.583	29.349	0.239
31.600	28.906	0.239
31.617	28.408	0.239
31.633	27.838	0.239
31.650	27.233	0.239
31.667	26.595	0.239
31.683	25.935	0.239
31.700	25.275	0.239
31.717	24.620	0.239
31.733	23.977	0.239
31.750	23.377	0.239
31.767	22.810	0.239
31.783	22.300	0.239
31.800	21.840	0.239
31.817	21.461	0.239
31.833	21.159	0.239
31.850	20.933	0.239
31.867	20.805	0.239
31.883	20.763	0.239
31.900	20.817	0.239
31.917	20.979	0.239
31.933	21.205	0.239
31.950	21.532	0.239
31.967	21.945	0.239
31.983	22.413	0.239
32.000	22.936	0.239
32.017	23.519	0.239
32.033	24.141	0.239
32.050	24.787	0.239
32.067	25.451	0.239
32.083	26.115	0.239
32.100	26.766	0.239
32.117	27.400	0.239
32.133	27.996	0.239
32.150	28.553	0.239
32.167	29.055	0.239
32.183	29.489	0.239
32.200	29.855	0.239
32.217	30.140	0.239
32.233	30.344	0.239
32.250	30.459	0.239
32.267	30.480	0.239
32.283	30.421	0.239
32.300	30.255	0.239
32.317	30.012	0.239
32.333	29.671	0.239
32.350	29.250	0.239
32.367	28.769	0.239
32.383	28.249	0.239
32.400	27.862	0.239
32.417	27.470	0.239
32.433	26.930	0.239
32.450	26.291	0.239
32.467	25.631	0.239
32.483	25.023	0.239
32.500	24.699	0.239
32.517	24.163	0.239
32.533	23.639	0.239
32.550	23.154	0.239
32.567	22.724	0.239
32.583	22.345	0.239
32.600	22.013	0.239
32.617	21.702	0.239
32.633	21.498	0.239
32.650	21.450	0.239
32.667	21.514	0.239
32.683	21.765	0.239
32.700	22.097	0.239
32.717	22.480	0.239
32.733	22.884	0.239
32.750	23.335	0.239
32.767	23.812	0.239
32.783	24.233	0.239
32.800	24.595	0.239
32.817	25.207	0.239
32.833	25.565	0.239
32.850	26.050	0.239
32.867	26.744	0.239
32.883	27.403	0.239
32.900	27.982	0.239
32.917	28.514	0.239
32.933	28.986	0.239
32.950	29.403	0.239
32.967	29.752	0.239
32.983	30.020	0.239
33.000	30.211	0.239
33.017	30.313	0.239
33.033	30.330	0.239
33.050	30.258	0.239
33.067	30.104	0.239
33.083	29.862	0.239
33.100	29.546	0.239
33.117	29.155	0.239
33.133	28.699	0.239
33.150	28.193	0.239
33.167	27.631	0.239
33.183	27.039	0.239
33.200	26.418	0.239
33.217	25.783	0.239
33.233	25.145	0.239
33.250	24.519	0.239
33.267	23.915	0.239
33.283	23.348	0.239
33.300	22.820	0.239
33.317	22.340	0.239
33.333	21.897	0.239
33.350	21.493	0.239
33.367	21.198	0.239
33.383	21.003	0.239
33.400	21.088	0.239
33.417	21.330	0.239
33.433	21.449	0.239
33.450	21.594	0.239
33.467	21.832	0.239
33.483	22.155	0.239
33.500	22.547	0.239
33.517	23.019	0.239
33.533	23.534	0.239
33.550	24.100	0.239
33.567	24.700	0.239
33.583	25.338	0.239
33.600	25.980	0.239
33.617	26.615	0.239
33.633	27.245	0.239
33.650	27.823	0.239
33.667	28.300	0.239
33.683	28.666	0.239
33.700	29.142	0.239
33.717	29.555	0.239
33.733	29.899	0.239
33.750	30.167	0.239
33.767	30.359	0.239
33.783	30.461	0.239
33.800	30.478	0.239
33.817	30.405	0.239
33.833	30.265	0.239
33.850	30.247	0.239
33.867	29.962	0.239
33.883	29.596	0.239
33.900	29.158	0.239
33.917	28.651	0.239
33.933	28.098	0.239
33.950	27.493	0.239
33.967	26.872	0.239
33.983	26.455	0.239
34.000	25.927	0.239
34.017	25.330	0.239
34.033	24.739	0.239
34.050	24.177	0.239
34.067	23.645	0.239
34.083	23.155	0.239
34.100	22.734	0.239
34.117	22.385	0.239
34.133	22.121	0.239
34.150	21.925	0.239
34.167	21.793	0.239
34.183	21.648	0.239
34.200	21.456	0.239
34.217	21.631	0.239
34.233	21.575	0.239
34.250	21.711	0.239
34.267	22.120	0.239
34.283	22.660	0.239
34.300	23.188	0.239
34.317	23.745	0.239
34.333	24.328	0.239
34.350	24.941	0.239
34.367	25.571	0.239
34.383	26.196	0.239
34.400	26.818	0.239
34.417	27.417	0.239
34.433	27.975	0.239
34.450	28.498	0.239
34.467	28.962	0.239
34.483	29.362	0.239
34.500	29.698	0.239
34.517	29.953	0.239
34.533	30.141	0.239
34.550	30.230	0.239
34.567	30.238	0.239
34.583	30.166	0.239
34.600	30.000	0.239
34.617	29.761	0.239
34.633	29.437	0.239
34.650	29.050	0.239
34.667	28.595	0.239
34.683	28.092	0.239
34.700	27.543	0.239
34.717	26.960	0.239
34.733	26.355	0.239
34.750	25.734	0.239
34.767	25.096	0.239
34.783	24.423	0.239
34.800	23.784	0.239
34.817	23.388	0.239
34.833	23.133	0.239
34.850	22.720	0.239
34.867	22.316	0.239
34.883	22.298	0.239
34.900	22.115	0.239
34.917	21.962	0.239
34.933	21.881	0.239
34.950	21.876	0.239
34.967	21.962	0.239
34.983	22.136	0.239
35.000	22.387	0.239
35.017	22.723	0.239
35.033	23.123	0.239
35.050	23.578	0.239
35.067	24.085	0.239
35.083	24.621	0.239
35.100	25.187	0.239
35.117	25.706	0.239
35.133	26.118	0.239
35.150	26.744	0.239
35.167	27.378	0.239
35.183	27.969	0.239
35.200	28.523	0.239
35.217	29.025	0.239
35.233	29.476	0.239
35.250	29.859	0.239
35.267	30.178	0.239
35.283	30.424	0.239
35.300	30.586	0.239
35.317	30.667	0.239
35.333	30.667	0.239
35.350	30.573	0.239
35.367	30.394	0.239
35.383	30.134	0.239
35.400	29.785	0.239
35.417	29.355	0.239
35.433	28.785	0.239
35.450	28.117	0.239
35.467	27.550	0.239
35.483	26.899	0.239
35.500	26.167	0.239
35.517	25.545	0.239
35.533	24.920	0.239
35.550	24.311	0.239
35.567	23.728	0.239
35.583	23.174	0.239
35.600	22.672	0.239
35.617	22.221	0.239
35.633	21.829	0.239
35.650	21.522	0.239
35.667	21.288	0.239
35.683	21.131	0.239
35.700	21.080	0.239
35.717	21.100	0.239
35.733	21.198	0.239
35.750	21.381	0.239
35.767	21.636	0.239
35.783	21.968	0.239
35.800	22.373	0.239
35.817	22.836	0.239
35.833	23.347	0.239
35.850	23.905	0.239
35.867	24.492	0.239
35.883	25.100	0.239
35.900	25.721	0.239
35.917	26.338	0.239
35.933	26.947	0.239
35.950	27.538	0.239
35.967	28.083	0.239
35.983	28.585	0.239
36.000	29.036	0.239
36.017	29.423	0.239
36.033	29.738	0.239
36.050	29.976	0.239
36.067	30.138	0.239
36.083	30.210	0.239
36.100	30.201	0.239
36.117	30.108	0.239
36.133	29.916	0.239
36.150	29.643	0.239
36.167	29.282	0.239
36.183	28.848	0.239
36.200	28.371	0.239
36.217	27.945	0.239
36.233	27.485	0.239
36.250	27.187	0.239
36.267	26.600	0.239
36.283	25.978	0.239
36.300	25.374	0.239
36.317	25.033	0.239
36.333	24.548	0.239
36.350	24.041	0.239
36.367	23.565	0.239
36.383	23.135	0.239
36.400	22.760	0.239
36.417	22.445	0.239
36.433	22.202	0.239
36.450	22.040	0.239
36.467	21.963	0.239
36.483	21.968	0.239
36.500	22.082	0.239
36.517	22.278	0.239
36.533	22.546	0.239
36.550	22.882	0.239
36.567	23.282	0.239
36.583	23.742	0.239
36.600	24.240	0.239
36.617	24.767	0.239
36.633	25.286	0.239
36.650	25.567	0.239
36.667	26.180	0.239
36.683	26.712	0.239
36.700	26.890	0.239
36.717	27.473	0.239
36.733	28.069	0.239
36.750	28.588	0.239
36.767	29.035	0.239
36.783	29.401	0.239
36.800	29.690	0.239
36.817	29.903	0.239
36.833	30.043	0.239
36.850	30.098	0.239
36.867	30.081	0.239
36.883	29.970	0.239
36.900	29.787	0.239
36.917	29.523	0.239
36.933	29.187	0.239
36.950	28.787	0.239
36.967	28.323	0.239
36.983	27.816	0.239
37.000	27.267	0.239
37.017	26.684	0.239
37.033	26.088	0.239
37.050	25.483	0.239
37.067	24.883	0.239
37.083	24.295	0.239
37.100	23.738	0.239
37.117	23.218	0.239
37.133	22.742	0.239
37.150	22.316	0.239
37.167	21.950	0.239
37.183	21.652	0.239
37.200	21.418	0.239
37.217	21.230	0.239
37.233	21.137	0.239
37.250	21.149	0.239
37.267	21.255	0.239
37.283	21.596	0.239
37.300	21.898	0.239
37.317	22.238	0.239
37.333	22.655	0.239
37.350	23.319	0.239
37.367	23.889	0.239
37.383	24.463	0.239
37.400	25.055	0.239
37.417	25.655	0.239
37.433	26.259	0.239
37.450	26.851	0.239
37.467	27.421	0.239
37.483	27.936	0.239
37.500	28.413	0.239
37.517	28.727	0.239
37.533	29.157	0.239
37.550	29.514	0.239
37.567	29.812	0.239
37.583	30.025	0.239
37.600	30.165	0.239
37.617	30.216	0.239
37.633	30.195	0.239
37.650	30.088	0.239
37.667	29.901	0.239
37.683	29.658	0.239
37.700	29.539	0.239
37.717	29.181	0.239
37.733	28.743	0.239
37.750	28.253	0.239
37.767	27.717	0.239
37.783	27.138	0.239
37.800	26.533	0.239
37.817	26.099	0.239
37.833	25.644	0.239
37.850	25.103	0.239
37.867	24.571	0.239
37.883	24.060	0.239
37.900	23.587	0.239
37.917	23.153	0.239
37.933	22.774	0.239
37.950	22.472	0.239
37.967	22.259	0.239
37.983	22.127	0.239
38.000	22.076	0.239
38.017	22.076	0.239
38.033	22.118	0.239
38.050	21.969	0.239
38.067	22.254	0.239
38.083	22.284	0.239
38.100	22.501	0.239
38.117	23.011	0.239
38.133	23.573	0.239
38.150	24.126	0.239
38.167	24.688	0.239
38.183	25.271	0.239
38.200	25.866	0.239
38.217	26.454	0.239
38.233	27.024	0.239
38.250	27.573	0.239
38.267	28.079	0.239
38.283	28.547	0.239
38.300	28.951	0.239
38.317	29.305	0.239
38.333	29.589	0.239
38.350	29.802	0.239
38.367	29.930	0.239
38.383	29.972	0.239
38.400	29.942	0.239
38.417	29.832	0.239
38.433	29.632	0.239
