Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Distance (cm)	Dist Error (cm)
4.367	18.500	0.239
4.383	19.117	0.239
4.400	19.705	0.239
4.417	20.368	0.239
4.433	21.160	0.239
4.450	22.032	0.239
4.467	22.977	0.239
4.483	23.973	0.239
4.500	24.998	0.239
4.517	26.049	0.239
4.533	27.105	0.239
4.550	28.143	0.239
4.567	29.126	0.239
4.583	30.041	0.239
4.600	30.858	0.239
4.617	31.390	0.239
4.633	32.045	0.239
4.650	32.420	0.239
4.667	32.849	0.239
4.683	33.164	0.239
4.700	33.330	0.239
4.717	33.334	0.239
4.733	33.185	0.239
4.750	32.883	0.239
4.767	32.445	0.239
4.783	31.887	0.239
4.800	31.376	0.239
4.817	30.627	0.239
4.833	30.069	0.239
4.850	29.175	0.239
4.867	28.209	0.239
4.883	27.191	0.239
4.900	26.332	0.239
4.917	25.455	0.239
4.933	24.480	0.239
4.950	23.522	0.239
4.967	22.616	0.239
4.983	21.747	0.239
5.000	20.679	0.239
5.017	19.798	0.239
5.033	19.240	0.239
5.050	18.819	0.239
5.067	18.529	0.239
5.083	18.388	0.239
5.100	18.388	0.239
5.117	18.584	0.239
5.133	19.252	0.239
5.150	19.775	0.239
5.167	20.269	0.239
5.183	20.545	0.239
5.200	21.026	0.239
5.217	21.690	0.239
5.233	22.707	0.239
5.250	23.673	0.239
5.267	24.669	0.239
5.283	25.686	0.239
5.300	26.703	0.239
5.317	27.703	0.239
5.333	28.665	0.239
5.350	29.606	0.239
5.367	30.559	0.239
5.383	31.359	0.239
5.400	32.027	0.239
5.417	32.737	0.239
5.433	33.154	0.239
5.450	33.435	0.239
5.467	33.567	0.239
5.483	33.562	0.239
5.500	33.418	0.239
5.517	33.128	0.239
5.533	32.715	0.239
5.550	32.170	0.239
5.567	31.502	0.239
5.583	30.740	0.239
5.600	29.697	0.239
5.617	28.786	0.239
5.633	27.803	0.239
5.650	26.684	0.239
5.667	25.598	0.239
5.683	24.585	0.239
5.700	23.602	0.239
5.717	22.661	0.239
5.733	21.771	0.239
5.750	20.958	0.239
5.767	20.226	0.239
5.783	19.524	0.239
5.800	18.949	0.239
5.817	19.030	0.239
5.833	19.068	0.239
5.850	19.046	0.239
5.867	18.800	0.239
5.883	18.663	0.239
5.900	18.931	0.239
5.917	19.348	0.239
5.933	19.906	0.239
5.950	20.667	0.239
5.967	21.842	0.239
5.983	22.735	0.239
6.000	23.638	0.239
6.017	24.565	0.239
6.033	25.493	0.239
6.050	26.221	0.239
6.067	27.225	0.239
6.083	28.217	0.239
6.100	29.148	0.239
6.117	29.910	0.239
6.133	30.544	0.239
6.150	31.076	0.239
6.167	31.706	0.239
6.183	32.216	0.239
6.200	32.608	0.239
6.217	32.871	0.239
6.233	32.999	0.239
6.250	32.991	0.239
6.267	32.846	0.239
6.283	32.560	0.239
6.300	32.147	0.239
6.317	31.620	0.239
6.333	30.981	0.239
6.350	30.427	0.239
6.367	29.610	0.239
6.383	28.993	0.239
6.400	28.091	0.239
6.417	27.112	0.239
6.433	26.107	0.239
6.450	25.375	0.239
6.467	24.485	0.239
6.483	23.579	0.239
6.500	22.689	0.239
6.517	21.838	0.239
6.533	21.033	0.239
6.550	20.429	0.239
6.567	19.947	0.239
6.583	19.569	0.239
6.600	19.309	0.239
6.617	19.143	0.239
6.633	18.938	0.239
6.650	18.921	0.239
6.667	18.713	0.239
6.683	19.138	0.239
6.700	19.751	0.239
6.717	20.394	0.239
6.733	21.121	0.239
6.750	21.934	0.239
6.767	22.819	0.239
6.783	23.755	0.239
6.800	24.717	0.239
6.817	25.704	0.239
6.833	26.704	0.239
6.850	27.806	0.239
6.867	28.810	0.239
6.883	29.692	0.239
6.900	30.525	0.239
6.917	31.236	0.239
6.933	31.964	0.239
6.950	32.530	0.239
6.967	32.934	0.239
6.983	33.185	0.239
7.000	33.304	0.239
7.017	33.253	0.239
7.033	32.968	0.239
7.050	32.648	0.239
7.067	32.222	0.239
7.083	31.678	0.239
7.100	30.903	0.239
7.117	30.150	0.239
7.133	29.336	0.239
7.150	28.468	0.239
7.167	27.544	0.239
7.183	26.582	0.239
7.200	25.612	0.239
7.217	24.629	0.239
7.233	23.582	0.239
7.250	22.917	0.239
7.267	22.245	0.239
7.283	21.849	0.239
7.300	20.857	0.239
7.317	19.946	0.239
7.333	19.435	0.239
7.350	18.882	0.239
7.367	18.801	0.239
7.383	18.609	0.239
7.400	18.588	0.239
7.417	18.843	0.239
7.433	18.945	0.239
7.450	19.566	0.239
7.467	20.102	0.239
7.483	20.749	0.239
7.500	21.677	0.239
7.517	22.860	0.239
7.533	23.771	0.239
7.550	24.677	0.239
7.567	25.571	0.239
7.583	26.239	0.239
7.600	27.217	0.239
7.617	28.184	0.239
7.633	29.098	0.239
7.650	29.932	0.239
7.667	30.456	0.239
7.683	31.141	0.239
7.700	31.749	0.239
7.717	32.068	0.239
7.733	32.451	0.239
7.750	32.698	0.239
7.767	32.821	0.239
7.783	32.808	0.239
7.800	32.668	0.239
7.817	32.387	0.239
7.833	31.982	0.239
7.850	31.450	0.239
7.867	30.816	0.239
7.883	30.084	0.239
7.900	29.271	0.239
7.917	28.390	0.239
7.933	27.453	0.239
7.950	26.487	0.239
7.967	25.508	0.239
7.983	24.525	0.239
8.000	23.567	0.239
8.017	22.643	0.239
8.033	21.779	0.239
8.050	20.987	0.239
8.067	20.281	0.239
8.083	19.676	0.239
8.100	19.183	0.239
8.117	18.808	0.239
8.133	18.561	0.239
8.150	18.450	0.239
8.167	18.476	0.239
8.183	18.641	0.239
8.200	18.952	0.239
8.217	19.395	0.239
8.233	19.943	0.239
8.250	20.582	0.239
8.267	21.305	0.239
8.283	22.109	0.239
8.300	22.978	0.239
8.317	23.901	0.239
8.333	24.858	0.239
8.350	25.828	0.239
8.367	26.795	0.239
8.383	27.739	0.239
8.400	28.641	0.239
8.417	29.492	0.239
8.433	30.263	0.239
8.450	30.956	0.239
8.467	31.548	0.239
8.483	32.037	0.239
8.500	32.403	0.239
8.517	32.645	0.239
8.533	32.756	0.239
8.550	32.730	0.239
8.567	32.564	0.239
8.583	32.249	0.239
8.600	31.798	0.239
8.617	31.249	0.239
8.633	30.780	0.239
8.650	30.333	0.239
8.667	29.580	0.239
8.683	28.720	0.239
8.700	27.818	0.239
8.717	27.175	0.239
8.733	26.260	0.239
8.750	25.332	0.239
8.767	24.417	0.239
8.783	23.510	0.239
8.800	22.620	0.239
8.817	21.458	0.239
8.833	20.632	0.239
8.850	20.041	0.239
8.867	19.551	0.239
8.883	19.053	0.239
8.900	18.755	0.239
8.917	18.648	0.239
8.933	18.699	0.239
8.950	19.049	0.239
8.967	19.350	0.239
8.983	19.776	0.239
9.000	20.337	0.239
9.017	21.278	0.239
9.033	22.236	0.239
9.050	23.023	0.239
9.067	23.695	0.239
9.083	24.418	0.239
9.100	25.070	0.239
9.117	25.840	0.239
9.133	26.836	0.239
9.150	27.831	0.239
9.167	28.738	0.239
9.183	29.559	0.239
9.200	30.308	0.239
9.217	30.972	0.239
9.233	31.533	0.239
9.250	31.984	0.239
9.267	32.321	0.239
9.283	32.533	0.239
9.300	32.618	0.239
9.317	32.571	0.239
9.333	32.401	0.239
9.350	32.099	0.239
9.367	31.694	0.239
9.383	31.162	0.239
9.400	30.527	0.239
9.417	29.800	0.239
9.433	28.991	0.239
9.450	28.131	0.239
9.467	27.225	0.239
9.483	26.284	0.239
9.500	25.339	0.239
9.517	24.398	0.239
9.533	23.483	0.239
9.550	22.602	0.239
9.567	21.784	0.239
9.583	21.044	0.239
9.600	20.380	0.239
9.617	19.813	0.239
9.633	19.328	0.239
9.650	18.915	0.239
9.667	18.685	0.239
9.683	18.787	0.239
9.700	19.064	0.239
9.717	19.302	0.239
9.733	19.570	0.239
9.750	19.991	0.239
9.767	20.745	0.239
9.783	21.455	0.239
9.800	22.247	0.239
9.817	23.076	0.239
9.833	23.945	0.239
9.850	24.834	0.239
9.867	25.702	0.239
9.883	26.561	0.239
9.900	27.374	0.239
9.917	28.311	0.239
9.933	29.191	0.239
9.950	29.970	0.239
9.967	30.459	0.239
9.983	31.111	0.239
10.000	31.502	0.239
10.017	31.957	0.239
10.033	32.310	0.239
10.050	32.514	0.239
10.067	32.591	0.239
10.083	32.523	0.239
10.100	32.331	0.239
10.117	32.016	0.239
10.133	31.595	0.239
10.150	31.054	0.239
10.167	30.433	0.239
10.183	29.884	0.239
10.200	29.096	0.239
10.217	28.513	0.239
10.233	27.644	0.239
10.250	26.721	0.239
10.267	25.776	0.239
10.283	24.844	0.239
10.300	24.230	0.239
10.317	23.430	0.239
10.333	22.647	0.239
10.350	21.910	0.239
10.367	21.234	0.239
10.383	20.638	0.239
10.400	20.080	0.239
10.417	19.744	0.239
10.433	19.582	0.239
10.450	19.603	0.239
10.467	19.675	0.239
10.483	19.820	0.239
10.500	19.913	0.239
10.517	20.151	0.239
10.533	20.398	0.239
10.550	20.841	0.239
10.567	21.615	0.239
10.583	22.466	0.239
10.600	23.313	0.239
10.617	24.194	0.239
10.633	25.104	0.239
10.650	26.024	0.239
10.667	26.939	0.239
10.683	27.837	0.239
10.700	28.687	0.239
10.717	29.526	0.239
10.733	30.377	0.239
10.750	31.062	0.239
10.767	31.586	0.239
10.783	32.049	0.239
10.800	32.385	0.239
10.817	32.585	0.239
10.833	32.764	0.239
10.850	32.679	0.239
10.867	32.530	0.239
10.883	32.155	0.239
10.900	31.644	0.239
10.917	31.133	0.239
10.933	30.478	0.239
10.950	29.741	0.239
10.967	28.830	0.239
10.983	27.945	0.239
11.000	27.055	0.239
11.017	26.149	0.239
11.033	25.250	0.239
11.050	24.344	0.239
11.067	23.471	0.239
11.083	22.641	0.239
11.100	21.854	0.239
11.117	21.045	0.239
11.133	20.564	0.239
11.150	20.334	0.239
11.167	20.079	0.239
11.183	19.972	0.239
11.200	19.776	0.239
11.217	19.252	0.239
11.233	19.235	0.239
11.250	19.422	0.239
11.267	19.737	0.239
11.283	20.201	0.239
11.300	21.039	0.239
11.317	21.886	0.239
11.333	22.626	0.239
11.350	23.401	0.239
11.367	24.201	0.239
11.383	24.954	0.239
11.400	25.635	0.239
11.417	26.558	0.239
11.433	27.461	0.239
11.450	28.290	0.239
11.467	28.869	0.239
11.483	29.639	0.239
11.500	30.154	0.239
11.517	30.775	0.239
11.533	31.316	0.239
11.550	31.750	0.239
11.567	32.081	0.239
11.583	32.282	0.239
11.600	32.354	0.239
11.617	32.298	0.239
11.633	32.115	0.239
11.650	31.809	0.239
11.667	31.387	0.239
11.683	30.851	0.239
11.700	30.216	0.239
11.717	29.489	0.239
11.733	28.701	0.239
11.750	27.871	0.239
11.767	27.182	0.239
11.783	26.504	0.239
11.800	25.670	0.239
11.817	24.776	0.239
11.833	23.891	0.239
11.850	23.057	0.239
11.867	22.269	0.239
11.883	21.563	0.239
11.900	20.937	0.239
11.917	20.405	0.239
11.933	19.962	0.239
11.950	19.643	0.239
11.967	19.468	0.239
11.983	19.374	0.239
12.000	19.166	0.239
12.017	19.157	0.239
12.033	19.472	0.239
12.050	19.961	0.239
12.067	20.510	0.239
12.083	21.127	0.239
12.100	21.816	0.239
12.117	22.578	0.239
12.133	23.404	0.239
12.150	24.271	0.239
12.167	25.161	0.239
12.183	26.054	0.239
12.200	26.948	0.239
12.217	27.816	0.239
12.233	28.638	0.239
12.250	29.417	0.239
12.267	30.135	0.239
12.283	30.748	0.239
12.300	31.310	0.239
12.317	31.706	0.239
12.333	31.995	0.239
12.350	32.169	0.239
12.367	32.203	0.239
12.383	32.131	0.239
12.400	31.943	0.239
12.417	31.641	0.239
12.433	31.232	0.239
12.450	30.726	0.239
12.467	30.121	0.239
12.483	29.436	0.239
12.500	28.678	0.239
12.517	27.869	0.239
12.533	26.988	0.239
12.550	26.026	0.239
12.567	25.286	0.239
12.583	24.711	0.239
12.600	24.111	0.239
12.617	23.421	0.239
12.633	22.668	0.239
12.650	21.719	0.239
12.667	20.825	0.239
12.683	20.284	0.239
12.700	19.871	0.239
12.717	19.586	0.239
12.733	19.407	0.239
12.750	19.351	0.239
12.767	19.419	0.239
12.783	19.615	0.239
12.800	19.925	0.239
12.817	20.355	0.239
12.833	20.994	0.239
12.850	21.964	0.239
12.867	22.755	0.239
12.883	23.525	0.239
