Motion Sensor Data File Sep 15, 2020 3:20 PM
Time (s)	Distance (cm)	Dist Error (cm)
4.367	31.748	0.239
4.383	32.177	0.239
4.400	32.548	0.239
4.417	32.724	0.239
4.433	32.699	0.239
4.450	32.523	0.239
4.467	32.168	0.239
4.483	31.653	0.239
4.500	30.959	0.239
4.517	30.142	0.239
4.533	29.264	0.239
4.550	28.308	0.239
4.567	27.291	0.239
4.583	26.225	0.239
4.600	25.106	0.239
4.617	23.795	0.239
4.633	22.709	0.239
4.650	21.712	0.239
4.667	20.613	0.239
4.683	19.592	0.239
4.700	18.669	0.239
4.717	17.934	0.239
4.733	17.338	0.239
4.750	16.904	0.239
4.767	16.594	0.239
4.783	16.480	0.239
4.800	16.496	0.239
4.817	16.675	0.239
4.833	16.998	0.239
4.850	17.516	0.239
4.867	18.108	0.239
4.883	18.855	0.239
4.900	19.721	0.239
4.917	20.685	0.239
4.933	21.791	0.239
4.950	22.922	0.239
4.967	24.005	0.239
4.983	25.103	0.239
5.000	26.205	0.239
5.017	27.349	0.239
5.033	28.398	0.239
5.050	29.325	0.239
5.067	30.162	0.239
5.083	30.856	0.239
5.100	31.448	0.239
5.117	31.897	0.239
5.133	32.199	0.239
5.150	32.403	0.239
5.167	32.366	0.239
5.183	32.153	0.239
5.200	31.835	0.239
5.217	31.345	0.239
5.233	30.716	0.239
5.250	29.968	0.239
5.267	29.135	0.239
5.283	28.175	0.239
5.300	27.117	0.239
5.317	25.978	0.239
5.333	24.859	0.239
5.350	23.752	0.239
5.367	22.674	0.239
5.383	21.624	0.239
5.400	20.574	0.239
5.417	19.557	0.239
5.433	18.712	0.239
5.450	17.997	0.239
5.467	17.421	0.239
5.483	16.968	0.239
5.500	16.674	0.239
5.517	16.526	0.239
5.533	16.563	0.239
5.550	16.734	0.239
5.567	17.028	0.239
5.583	17.522	0.239
5.600	18.126	0.239
5.617	18.870	0.239
5.633	19.764	0.239
5.650	20.801	0.239
5.667	21.817	0.239
5.683	22.904	0.239
5.700	24.157	0.239
5.717	25.337	0.239
5.733	26.464	0.239
5.750	27.514	0.239
5.767	28.604	0.239
5.783	29.657	0.239
5.800	30.499	0.239
5.817	31.241	0.239
5.833	31.854	0.239
5.850	32.507	0.239
5.867	32.862	0.239
5.883	33.038	0.239
5.900	33.066	0.239
5.917	32.940	0.239
5.933	32.662	0.239
5.950	32.216	0.239
5.967	31.632	0.239
5.983	30.844	0.239
6.000	29.958	0.239
6.017	29.026	0.239
6.033	28.038	0.239
6.050	26.984	0.239
6.067	25.792	0.239
6.083	24.660	0.239
6.100	23.529	0.239
6.117	22.459	0.239
6.133	21.401	0.239
6.150	20.343	0.239
6.167	19.408	0.239
6.183	18.616	0.239
6.200	17.913	0.239
6.217	17.267	0.239
6.233	16.908	0.239
6.250	16.700	0.239
6.267	16.643	0.239
6.283	16.769	0.239
6.300	17.030	0.239
6.317	17.459	0.239
6.333	18.022	0.239
6.350	18.724	0.239
6.367	19.615	0.239
6.383	20.517	0.239
6.400	21.485	0.239
6.417	22.505	0.239
6.433	23.571	0.239
6.450	24.657	0.239
6.467	25.760	0.239
6.483	26.972	0.239
6.500	28.001	0.239
6.517	28.969	0.239
6.533	29.884	0.239
6.550	30.762	0.239
6.567	31.402	0.239
6.583	31.913	0.239
6.600	32.276	0.239
6.617	32.492	0.239
6.633	32.554	0.239
6.650	32.439	0.239
6.667	32.182	0.239
6.683	31.781	0.239
6.700	31.234	0.239
6.717	30.560	0.239
6.733	29.735	0.239
6.750	28.751	0.239
6.767	27.730	0.239
6.783	26.721	0.239
6.800	25.492	0.239
6.817	24.360	0.239
6.833	23.298	0.239
6.850	22.248	0.239
6.867	21.231	0.239
6.883	20.272	0.239
6.900	19.328	0.239
6.917	18.523	0.239
6.933	17.886	0.239
6.950	17.376	0.239
6.967	16.996	0.239
6.983	16.791	0.239
7.000	16.697	0.239
7.017	16.783	0.239
7.033	17.007	0.239
7.050	17.420	0.239
7.067	17.930	0.239
7.083	18.620	0.239
7.100	19.592	0.239
7.117	20.502	0.239
7.133	21.629	0.239
7.150	22.728	0.239
7.167	23.810	0.239
7.183	24.941	0.239
7.200	26.178	0.239
7.217	27.289	0.239
7.233	28.318	0.239
7.250	29.514	0.239
7.267	30.400	0.239
7.283	31.163	0.239
7.300	31.866	0.239
7.317	32.613	0.239
7.333	32.985	0.239
7.350	33.262	0.239
7.367	33.335	0.239
7.383	33.290	0.239
7.400	33.017	0.239
7.417	32.510	0.239
7.433	32.085	0.239
7.450	31.375	0.239
7.467	30.586	0.239
7.483	29.598	0.239
7.500	28.577	0.239
7.517	27.556	0.239
7.533	26.347	0.239
7.550	25.244	0.239
7.567	24.129	0.239
7.583	23.022	0.239
7.600	21.789	0.239
7.617	20.743	0.239
7.633	19.718	0.239
7.650	18.881	0.239
7.667	18.182	0.239
7.683	17.602	0.239
7.700	17.185	0.239
7.717	16.904	0.239
7.733	16.761	0.239
7.750	16.777	0.239
7.767	16.948	0.239
7.783	17.263	0.239
7.800	17.728	0.239
7.817	18.328	0.239
7.833	19.132	0.239
7.850	19.986	0.239
7.867	20.921	0.239
7.883	21.917	0.239
7.900	22.958	0.239
7.917	24.048	0.239
7.933	25.224	0.239
7.950	26.392	0.239
7.967	27.421	0.239
7.983	28.454	0.239
8.000	29.442	0.239
8.017	30.287	0.239
