x-axis,NO_LBL,2
second,Volt,Volt
-4.475000E-06,+1.466705433424E+00,+55.039126737E-03
-4.470000E-06,+1.473732512456E+00,+38.186636550E-03
-4.465000E-06,+1.463615919035E+00,+51.547668644E-03
-4.460000E-06,+1.473091027915E+00,+43.254085478E-03
-4.455000E-06,+1.469228927609E+00,+44.423156939E-03
-4.450000E-06,+1.463804466788E+00,+47.243939892E-03
-4.445000E-06,+1.469862043976E+00,+37.759422471E-03
-4.440000E-06,+1.465273797343E+00,+50.174760551E-03
-4.435000E-06,+1.465123547174E+00,+35.313820146E-03
-4.430000E-06,+1.462718338245E+00,+49.507191436E-03
-4.425000E-06,+1.476921691032E+00,+37.863429061E-03
-4.420000E-06,+1.469491205751E+00,+44.785566679E-03
-4.415000E-06,+1.467811012315E+00,+43.536748792E-03
-4.410000E-06,+1.462174557779E+00,+38.340595855E-03
-4.405000E-06,+1.478080343741E+00,+48.961239768E-03
-4.400000E-06,+1.474658213322E+00,+32.309510343E-03
-4.395000E-06,+1.475490205728E+00,+48.037303003E-03
-4.390000E-06,+1.475413685948E+00,+31.751044110E-03
-4.385000E-06,+1.465162297092E+00,+47.300602224E-03
-4.380000E-06,+1.467234211491E+00,+36.729805482E-03
-4.375000E-06,+1.464112732188E+00,+38.319939284E-03
-4.370000E-06,+1.469840633515E+00,+41.741707835E-03
-4.365000E-06,+1.462988607616E+00,+31.975039745E-03
-4.360000E-06,+1.472013192157E+00,+49.973019732E-03
-4.355000E-06,+1.464402074962E+00,+26.363946051E-03
-4.350000E-06,+1.468645869502E+00,+50.852597641E-03
-4.345000E-06,+1.468246081922E+00,+26.252219633E-03
-4.340000E-06,+1.467669431875E+00,+49.371973822E-03
-4.335000E-06,+1.473426508725E+00,+29.737691844E-03
-4.330000E-06,+1.458968944413E+00,+40.939494063E-03
-4.325000E-06,+1.473046397660E+00,+39.097033460E-03
-4.320000E-06,+1.464240290284E+00,+29.678632144E-03
-4.315000E-06,+1.470595201474E+00,+48.100388473E-03
-4.310000E-06,+1.458524752744E+00,+22.622483135E-03
-4.305000E-06,+1.467771734674E+00,+51.478944081E-03
-4.300000E-06,+1.472071618590E+00,+21.831577704E-03
-4.295000E-06,+1.463716412500E+00,+47.374211991E-03
-4.290000E-06,+1.467949727976E+00,+28.590483177E-03
-4.285000E-06,+1.466584961889E+00,+39.407093116E-03
-4.280000E-06,+1.476612897910E+00,+36.299319524E-03
-4.275000E-06,+1.465434828131E+00,+29.011394740E-03
-4.270000E-06,+1.472310224603E+00,+48.164981722E-03
