transformer,current(A),, ruler(cm)
,lower,upper,
0,0,0,13.5
10,3.462,3.465,14.4
12,4.027,4.031,14.6
14,4.685,4.688,14.9
16,5.366,5.37,15.4
18,6.437,6.475,16.1
20,6.808,6.813,16.2
22,7.619,7.625,16.8
24,8.104,8.109,17.1
26,8.925,8.931,17.7
28,9.33,9.339,18
30,10.276,10.284,18.6
