transformer,current(A),, ruler(cm)
,lower,upper,
0,,,11.2
10,3.399,3.402,12
12,4.341,4.344,12.5
14,4.94,4.948,12.8
16,5.601,5.608,13.2
18,6.39,6.396,13.7
20,6.828,6.832,14
22,7.749,7.758,14.6
24,8.075,8.084,14.9
26,8.869,8.875,15.5
28,9.67,9.686,16.1
30,10.175,10.182,16.6
