transformer,current(A),, ruler(cm)
,lower,upper,
0,,,9.7
10,3.429,3.434,10.7
12,3.843,3.848,10.9
14,4.447,4.449,11.3
16,5.351,5.358,11.8
18,6.112,6.126,12.3
20,6.505,6.516,12.6
22,7.318,7.324,13.1
24,7.829,7.835,13.5
26,8.606,8.614,14.1
28,9.034,9.044,14.4
30,9.884,9.89,15.2
